"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","Phase"
-0.00500942,-0.00096371,0.00057277,0.00862299,0.00566678,0.00130194,-0.00063136,0.0001299,-4.828e-05,0.00776178,-0.00122644,0.00044992,-0.00451854,-0.00088952,0.00048922,0.00061139,0.00045307,0.00059032,4.335e-05,7.839e-05,-1.933e-05,-0.00039585,-7.1e-06,0.00018808,0.00513333,0.01040016,0.00064639,0.00787095,0.00463118,0.0009631,9.164e-05,0.00043831,'D'
0.00490517,0.00120913,-0.0006486,0.00473704,0.00316629,0.00081919,-0.00057235,-1.515e-05,2.336e-05,0.0027057,0.00211034,0.00043943,0.00070818,0.0001552,-8.724e-05,-0.00027757,-0.00017861,-3.448e-05,4.21e-06,-1.036e-05,5.12e-06,-0.00036115,0.00023834,-7.5e-07,0.00509346,0.00575639,0.00057303,0.0034594,0.00073022,0.00033186,1.23e-05,0.00043271,'D'
-0.00239286,-0.00021588,0.0001363,0.00302789,0.00121153,0.00033612,-0.0004494,1.708e-05,4.682e-05,0.00286819,0.00151946,0.00031792,-0.0023542,-0.00045968,0.00025319,-0.00055134,-0.00063057,-0.00015583,3.966e-05,1.04e-05,7.57e-06,5.242e-05,-0.00019061,-3.92e-05,0.00240645,0.00327855,0.00045215,0.00326135,0.00241199,0.00085198,4.17e-05,0.00020153,'D'
-0.00139426,-0.00024179,5.613e-05,0.00118226,0.00057489,0.00022497,-0.00047948,-4.954e-05,0.00010383,0.00117103,0.00065191,0.00021602,0.00031206,-8.1e-06,-2.505e-05,-0.00057676,-0.00019895,-3.473e-05,-9.4e-06,-2.082e-05,1.782e-05,-0.00053036,-0.00027111,-3.184e-05,0.00141618,0.00133373,0.00049308,0.00135756,0.00031317,0.0006111,2.897e-05,0.00059649,'D'
-0.00015644,-4.1e-06,2.252e-05,0.00158539,0.00063024,9.39e-05,-0.00030293,9.733e-05,6.506e-05,0.00157864,0.00066004,9.109e-05,0.00019965,3.834e-05,-5.42e-06,6.502e-05,8.93e-06,-2.114e-05,2.847e-05,2.369e-05,-6.25e-06,6.574e-05,1.31e-06,-2.015e-05,0.00015811,0.00170865,0.00032477,0.0017135,0.00020337,6.895e-05,3.756e-05,6.877e-05,'D'
-3.197e-05,2.714e-05,1.624e-05,0.00148215,0.00073159,6.539e-05,0.00036948,0.00014128,-5.38e-05,0.00147526,0.00074975,6.318e-05,4.015e-05,1.008e-05,-2.03e-06,-3.33e-05,3.269e-05,-9.2e-06,0.00021691,1.418e-05,-3.834e-05,-3.335e-05,2.894e-05,-9e-06,4.497e-05,0.00165417,0.00039921,0.00165605,4.145e-05,4.757e-05,0.00022072,4.506e-05,'D'
3.288e-05,2.32e-06,2.439e-05,0.00115004,0.00070915,7.876e-05,0.00133639,0.00030305,-3.738e-05,0.00113784,0.00071846,7.608e-05,2.092e-05,-8.01e-06,2.63e-06,-0.00010713,-7.24e-06,4.31e-06,0.00031191,5.218e-05,5.3e-06,-0.00010885,-1.01e-05,4.16e-06,4.1e-05,0.0013534,0.00137083,0.00134783,2.255e-05,0.00010746,0.00031629,0.00010939,'D'
0.00014598,0.00029081,2.747e-05,0.00125729,0.00090158,6.047e-05,0.00262813,0.00058219,-0.00014158,0.00124606,0.00090983,5.81e-05,7.069e-05,0.00018031,1.93e-06,6.703e-05,0.00012027,-1.143e-05,0.00080734,0.00017447,-6.513e-05,6.764e-05,0.00011961,-1.123e-05,0.00032655,0.00154832,0.00269556,0.00154397,0.00019368,0.00013816,0.00082854,0.00013787,'D'
-0.00198454,-0.00027907,3.833e-05,7.29e-05,0.00034662,7.113e-05,0.00127632,0.00059183,1.889e-05,6.318e-05,0.00034621,6.935e-05,-0.0004533,-0.00012125,2.31e-06,-0.000252,-0.00011808,2.27e-06,-0.00028762,2.05e-06,3.414e-05,-0.00025168,-0.00011992,2.39e-06,0.00200443,0.00036128,0.00140698,0.0003587,0.00046924,0.0002783,0.00028965,0.0002788,'D'
-0.00160139,8.194e-05,5.941e-05,-0.00026848,0.00028159,4.379e-05,0.00062737,0.00050451,-0.00013615,-0.0002752,0.00028334,4.266e-05,0.00025543,0.00024067,1.405e-05,-0.00022759,-4.336e-05,-1.823e-05,-0.00043263,-5.821e-05,-0.00010336,-0.00022559,-4.191e-05,-1.779e-05,0.00160459,0.00039152,0.00081649,0.00039729,0.00035123,0.00023239,0.0004486,0.00023014,'D'
